ID,population,avg_household_size,level_up_access_pop_percent,sex_total_men,sex_total_women,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasi,industry_professional_scientific_management_administrative_and_,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_s,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_total,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000-199999,hh_with_income_200000_and_greater,hh_median_income,hh_mean_income,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,edu_pop_over_25_less_than_9th_grade,edu_pop_over_25_9th-12th_no_diploma,edu_pop_over_25_high_school_graduate,edu_pop_over_25_some_college_no_degree,edu_pop_over_25_associates_degree,edu_pop_over_25_bachelors_degree,edu_pop_over_25_graduate_or_professional_degree,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability,citizenship_native_born,citizenship_foreign_born,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over
"0500000US06067-Sacramento County,California",1510023,2.77,0.9603415860530626,737742,772281,347025,1162998,5469,231740,144003,16335,6086,76865,73779,3086,682500,686019,267564,132177,159200,53759,73319,536029,499475,458851,5918,43737,38148,17066,75105,37705,12415,48305,81011,153425,65531,34990,72663,536029,29236,27434,45253,46057,63279,93941,69723,85746,40791,34569,63902,85289,536029,183652,352377,740570,686019,54551,445040,6.5,6.1,22.3,24.9,9.7,20.1,10.4,362128,934190,199143,13149,93440,74859,1195438,314585,99356,101293,102000,94932,100159,234363,197732,195044,95111,87826,117908,57619,26680
"0500000US06055-Napa County,California",140530,2.78,0.9157712858636312,70082,70448,47687,92843,326,11210,2764,264,516,3604,3384,220,74159,70888,25676,14669,14817,8097,7629,49032,45419,42930,4091,4332,9250,1923,7040,2136,823,3569,6768,15037,9806,3365,2748,49032,1582,1465,3053,3219,5131,7700,6142,9278,4977,6485,84753,116922,49032,15866,33166,74616,70888,3728,39796,9.7,5.2,18.0,23.0,9.2,23.0,11.9,29847,84375,24481,1117,7441,7755,109061,31469,7318,7449,9619,9036,8888,17269,17769,18925,9560,9337,14353,7545,3462
"0500000US06053-Monterey County,California",433212,3.3,0.8949433374571777,220967,212245,252588,180624,1046,23647,10606,1963,530,11594,11458,136,131238,185025,52799,36880,34992,38020,22334,126052,110447,101887,33257,11143,9615,5058,17409,6436,2410,6551,16854,36635,21934,8114,9609,126052,4820,4179,9561,10842,15983,24256,17300,19706,9041,10364,66676,93636,126052,49770,76282,195500,185025,10475,130379,19.5,9.2,20.4,18.2,8.1,14.7,9.7,113985,248590,54331,3209,16513,17454,303311,129901,32318,31786,32230,30473,31877,63216,56042,51701,25456,22598,32072,15291,8152
"0500000US06091-Sierra County,California",2930,2.34,0.02029950083194676,1542,1388,324,2606,25,0,6,0,0,8,8,0,2567,1251,346,235,201,282,187,1241,979,909,46,237,39,0,61,131,2,0,105,261,104,31,234,1241,45,127,145,118,196,139,135,263,48,25,48125,67464,1241,159,1082,1311,1251,60,1229,0.4,6.3,26.6,34.6,13.4,8.9,9.8,441,1623,839,0,202,182,2865,65,112,111,153,141,83,187,380,254,482,174,516,281,56
"0500000US06073-San Diego County,California",3302833,2.87,0.9780773620343106,1661931,1640902,1106925,2195908,12282,382336,155536,12811,6366,111197,108705,2492,1515380,1564930,652475,304726,340038,119478,148213,1118980,1051246,993171,13471,91902,144583,37263,163799,63842,34501,97145,236691,332860,186676,84047,78150,1118980,51029,39441,78317,84271,122572,184805,144979,197632,98349,117585,74855,101302,1118980,374289,744691,1671892,1564930,106962,911554,6.7,6.1,18.4,22.4,8.2,23.5,14.7,724787,2047192,432491,21691,147849,145357,2528468,774365,211969,198148,197726,209496,262118,541385,436855,420221,201666,183654,251516,127904,60175
"0500000US06113-Yolo County,California",214977,2.81,0.8682993197278912,104375,110602,67809,147168,533,29360,5215,919,258,9609,9276,333,101274,97374,43675,18245,16600,8470,10384,73510,68507,63619,3926,4630,5836,2231,9731,4672,1158,4229,10158,28377,10130,4301,7995,73510,5640,3773,6430,5442,7435,12203,8701,11053,5690,7143,65923,92571,73510,24120,49390,104096,97374,6722,70002,7.2,6.5,18.5,19.5,6.8,21.1,20.4,45830,142813,24963,1003,10125,8819,165855,49122,12467,12618,13052,20389,30396,29455,24981,23778,11704,10696,14761,7050,3630
"0500000US06023-Humboldt County,California",135768,2.43,0.9472107880021836,67666,68102,15360,120408,5919,4049,1342,369,258,7166,7057,109,101305,60970,20699,14302,13851,6020,6098,54267,48738,44023,2946,4143,2538,1433,8316,2318,860,2585,5342,15642,7718,3072,4057,54267,3804,4175,6889,6159,8242,9925,5712,5664,1888,1809,45528,63753,54267,13695,40572,66297,60970,5327,45852,2.8,6.8,23.5,27.5,9.5,19.6,10.2,26198,86194,22418,1324,12404,8213,128382,7386,7364,7787,6803,9105,12763,18345,17028,15030,9122,9774,14208,5791,2648
"0500000US06003-Alpine County,California",1146,3.71,0.11691762621789195,612,534,105,1041,294,8,9,0,0,52,52,0,678,366,114,79,76,59,38,299,272,254,14,21,0,0,61,41,15,5,34,58,59,18,40,299,11,20,22,32,37,51,27,51,26,22,64688,92738,299,56,243,445,366,79,489,3.2,7.9,28.7,26.1,4.1,19.0,11.0,239,614,293,16,125,96,1119,27,39,58,79,114,72,91,140,83,68,109,192,66,35
"0500000US06045-Mendocino County,California",87422,2.5,0.8398944080047033,43439,43983,21679,65743,2839,1667,511,170,180,3062,3037,25,57314,37712,12135,8369,7867,5580,3761,34090,29268,26465,2675,3033,2730,854,4672,1080,619,1438,3265,8376,4322,2386,2262,34090,2289,2555,3968,3889,4577,6425,3957,3994,1280,1156,49233,67340,34090,9576,24514,41549,37712,3837,29429,6.0,7.1,25.8,28.5,7.9,16.3,8.3,18831,50158,17586,928,7408,6230,76100,11322,5143,5838,4704,5160,4778,9969,10119,10569,6405,6892,11538,4309,1998
"0500000US06087-Santa Cruz County,California",273765,2.73,0.9908972120653116,135727,138038,91676,182089,360,12116,2359,168,554,8992,8851,141,157540,134904,55912,25456,27338,14312,11886,95756,87694,82710,6851,8414,11765,3574,14194,4055,3272,5777,16494,33829,15336,6843,4500,95756,4893,4046,7091,6734,9176,14353,11540,15655,8902,13366,78041,109141,95756,28141,67615,143931,134904,9027,82182,9.1,4.5,15.8,21.7,8.9,23.7,16.4,53695,178115,40487,2461,16189,11664,224800,48965,14535,14511,15516,22731,27607,33557,31870,34702,19532,18203,25867,10581,4553
"0500000US06037-Los Angeles County,California",10098052,3.0,0.9944504028097321,4976788,5121264,4893603,5204449,20307,1451560,795505,24821,29924,223280,209713,13567,2659052,4869658,1801478,922427,1103131,370471,672151,3306109,2989974,2714350,22589,284152,468036,165067,506432,283832,216025,295370,628758,1003878,549162,290342,156015,3306109,192319,168753,296864,282438,386040,534611,396793,500603,239855,307833,64251,94484,3306109,1109456,2196653,5226836,4869658,357178,2884764,12.6,8.7,20.7,19.2,7.0,20.7,11.1,2242820,6515718,1271912,66832,471391,454812,6641096,3456956,624745,607905,626594,654903,738416,1609935,1387454,1369838,631221,547764,734393,384700,180184
"0500000US06065-Riverside County,California",2383286,3.27,0.968306903192746,1186188,1197098,1154517,1228769,10064,147706,144503,5846,5345,58837,56161,2676,856468,1007795,297244,213776,233962,113079,149734,718349,657216,608643,15232,87664,86267,29095,129870,65157,14677,50780,103724,208682,115992,52608,48047,718349,39712,30031,64175,65380,87029,124931,94201,116546,51748,44596,63948,84391,718349,274850,443499,1102504,1007795,94709,735810,9.1,9.2,26.9,24.9,8.0,13.9,7.9,612817,1423514,325413,21685,131421,116691,1867048,516238,158008,169403,177796,177697,170153,328917,303627,303884,142066,123126,186772,101900,39937
"0500000US06085-Santa Clara County,California",1922200,2.97,0.9940399989210791,970469,951731,495455,1426745,3003,685265,45379,6231,4743,66212,62474,3738,615912,985838,523343,146473,172874,60230,82918,635525,605466,576421,5281,50085,165363,20368,84494,28399,50948,46925,203242,185953,80611,40075,24094,635525,20454,17520,29090,29276,44235,71227,65389,114669,83325,160340,116178,154183,635525,233992,401533,1035436,985838,49598,501131,6.7,5.2,14.5,15.4,6.9,27.3,24.0,432332,1237908,242533,9756,64875,77148,1177545,744655,118688,119462,124678,113909,121662,304906,280977,269412,120020,101578,138006,75122,33780
"0500000US06041-Marin County,California",260295,2.4,0.9428959996290944,127113,133182,41335,218960,435,14815,5597,292,2453,9559,9282,277,185809,131425,71865,18884,26345,7511,6820,105258,99111,95274,901,7675,6135,3193,12150,3974,4977,13220,26350,28470,12055,7895,4430,105258,3448,2877,5474,5554,7858,12246,10687,17758,11730,27626,110217,168429,105258,30323,74935,136574,131425,5149,76231,3.9,2.9,10.9,17.0,6.5,33.2,25.6,52777,149085,53690,1252,8897,12662,212306,47989,12292,15188,16044,14371,11859,22746,31827,41362,20429,19552,32032,15888,6705
"0500000US06093-Siskiyou County,California",43540,2.23,0.6780357840097384,21706,21834,5336,38204,1283,671,619,120,33,2088,2062,26,33390,16725,5545,3392,3436,2482,1870,19257,16453,14978,1795,999,955,328,1903,691,257,490,1069,4127,1734,904,1473,19257,1554,1307,2680,2194,2869,3504,2157,1939,619,434,44200,63208,19257,4612,14645,18165,16725,1440,17660,3.2,6.8,25.5,30.5,11.4,14.9,7.7,8787,24221,10421,378,4114,3918,41285,2255,2257,2695,2309,2459,2028,4439,4286,5085,3768,3751,6451,2829,1183
"0500000US06089-Shasta County,California",179085,2.49,0.7641381608174145,87859,91226,17605,161480,4014,5326,2140,182,151,6092,5863,229,143575,72392,23611,15821,17587,7609,7764,70473,62041,55518,1454,5495,4083,1423,9512,3094,1221,3958,6801,19105,7284,4267,4695,70473,4231,4935,7857,7541,10154,13004,8110,8201,3722,2718,50905,69130,70473,19384,51089,77216,72392,4824,67636,2.4,6.8,24.8,32.2,11.6,14.6,7.6,38494,104111,35043,1383,15944,14344,169322,9763,10520,10893,10500,10808,10213,22779,19093,22249,12939,13470,20852,10598,4171
"0500000US06015-Del Norte County,California",27424,2.48,0.9357831152020709,14575,12849,5340,22084,1841,937,758,17,128,1231,1205,26,17172,8823,2893,2787,1527,820,796,9799,8571,7523,381,379,322,83,1022,164,61,267,487,2482,1146,346,1683,9799,879,829,1290,1115,1003,2012,1140,934,281,316,45258,61652,9799,2914,6885,9619,8823,796,12373,4.5,14.5,31.5,26.9,8.3,8.3,6.0,5929,13892,4541,331,2761,2029,25498,1926,1584,1547,1849,1533,1474,4081,3448,3370,2151,1802,2808,1166,611
"0500000US06021-Glenn County,California",27897,2.75,0.6528721868066073,14171,13726,11504,16393,414,820,223,17,0,412,410,2,14507,10994,2459,2009,1948,2588,1990,10017,8341,6988,2603,552,909,199,1401,581,50,203,464,1949,884,646,553,10017,857,863,1233,802,1493,2016,1070,1161,334,188,47395,60614,10017,3626,6391,11800,10994,806,9539,13.8,10.9,28.2,24.6,8.6,10.9,3.0,7458,15878,4257,364,2325,1933,22641,5256,2051,1760,2347,2031,1784,3447,3385,3382,1652,1758,2445,1363,492
"0500000US06007-Butte County,California",227075,2.55,0.8781719635378172,112513,114562,36358,190717,1738,9900,3303,341,406,10639,10350,289,164390,94908,34326,20568,20485,8561,10968,86797,78815,72243,3792,5506,6230,1740,12823,3287,1680,4995,8871,26046,11195,4549,4194,86797,6590,6413,10660,8764,12152,14353,9407,10558,4115,3785,48443,69621,86797,23182,63615,103993,94908,9085,82599,3.9,6.8,22.7,29.8,10.3,17.5,9.0,45583,139711,39216,2574,20427,15145,209909,17166,12523,13858,11572,15615,25617,28693,24065,25068,15004,14841,23163,11730,5326
"0500000US06063-Plumas County,California",18699,2.28,0.11857287180305205,9423,9276,1629,17070,387,200,194,41,126,551,551,0,15571,7536,2614,1852,1287,975,808,8047,6778,6104,313,769,469,42,787,453,70,235,534,1830,932,459,643,8047,402,610,861,720,1189,1498,1057,1048,397,265,53270,71648,8047,1685,6362,8052,7536,516,7933,1.5,4.6,25.2,32.7,12.6,13.3,10.2,3063,10574,4907,222,1687,1502,17944,755,859,893,827,992,698,1714,1844,2211,1592,2081,3160,1410,418
"0500000US06079-San Luis Obispo County,California",281455,2.52,0.8875105523981759,142769,138686,63002,218453,1363,9924,4912,258,244,7178,6955,223,194574,129358,50946,26817,26782,13709,11104,105317,97444,90752,4383,11017,9026,2912,14469,5637,2056,5764,14045,29918,16234,6548,7349,105317,5649,4287,7915,7435,11870,18392,13799,18862,8158,8950,70699,93008,105317,26643,78674,135533,129358,6175,99422,4.1,5.0,19.8,25.9,10.5,21.4,13.2,50426,172552,51913,2019,13540,16056,252344,29111,13457,14079,14326,22464,29568,32771,30037,32501,19546,19948,31047,15299,6412
"0500000US06029-Kern County,California",883053,3.18,0.9000241058346118,452646,430407,465842,417211,4202,40273,45053,1153,1039,18461,17011,1450,307030,339384,90646,63177,65664,71402,48495,267913,228712,205715,56071,22692,17722,10313,36465,18374,3452,12008,27389,68154,29630,15436,21678,267913,17667,15647,30030,28629,36738,47612,30489,35313,14736,11052,52479,71440,267913,118202,149711,378440,339384,39056,272808,13.6,12.6,27.7,22.8,7.2,10.7,5.4,257361,506960,90257,9279,52065,34097,706709,176344,71173,72357,72906,65963,68554,135500,110974,102382,49204,42035,55461,26402,10142
"0500000US06059-Orange County,California",3164182,3.02,0.9854922958523684,1562429,1601753,1080195,2083987,6348,629637,50412,8541,5881,87132,82896,4236,1296036,1578079,658308,272860,373300,101631,171980,1032373,974586,921485,8771,90153,198904,56164,165841,55229,31976,135201,227315,304398,173459,86644,44024,1032373,43771,30304,62835,66044,96088,157083,132431,189165,107421,147231,85398,117194,1032373,362611,669762,1662510,1578079,84431,874018,8.2,6.7,17.1,20.3,7.8,25.7,14.1,710247,2002915,434315,20658,116054,132906,2208880,955302,188956,189548,206380,208793,218993,453121,415919,453608,211722,176654,249211,131180,60097
"0500000US06009-Calaveras County,California",45235,2.57,0.8126347892386451,22434,22801,5297,39938,374,568,299,126,52,1614,1595,19,36905,17114,5753,3360,4173,1977,1851,17417,15073,13567,505,1985,1381,346,1913,865,328,713,2143,3550,1349,750,1286,17417,753,792,1681,1800,2475,2918,2241,2558,1375,824,58151,79782,17417,3647,13770,18230,17114,1116,20292,3.3,6.3,27.6,31.8,12.3,12.7,6.0,7690,25017,12135,385,4464,4754,42669,2566,1936,2398,1926,2319,2054,3929,4212,5878,3966,4403,7469,3517,1228
"0500000US06101-Sutter County,California",95872,2.93,0.9082612327396852,47789,48083,29354,66518,676,14532,1793,367,211,4170,3960,210,44769,38664,11579,6994,7993,6475,5623,32360,28723,26537,4230,2868,2877,1272,4771,2157,346,1490,2931,8413,3431,1537,2341,32360,1593,1561,3284,3286,4552,6202,3959,4862,1721,1340,56955,75716,32360,13032,19328,42808,38664,4144,30333,12.7,9.3,23.9,25.4,10.9,11.8,5.9,25104,55652,13876,1058,6330,5644,74548,21324,6614,7219,7031,6583,6204,13284,11641,11722,5701,5645,7826,4618,1784
"0500000US06081-San Mateo County,California",765935,2.89,0.997574921109927,377851,388084,189002,576933,1151,212474,16838,10272,2476,30675,29042,1633,303047,409911,198720,69574,83257,24481,33879,261969,247758,234946,2018,21056,31935,8954,37624,22964,18578,31581,77705,82498,40523,21111,13364,261969,7627,6048,11667,12425,18246,30288,28976,47304,32301,67087,113776,162639,261969,86444,175525,427467,409911,17556,194669,6.4,4.5,15.0,17.2,7.0,28.8,21.2,160992,485205,115904,3904,25893,35252,499203,266732,44775,46334,43978,40654,42295,111996,110088,108983,51530,47435,66210,33971,17686
"0500000US06109-Tuolumne County,California",53932,2.25,0.9894636366973824,28102,25830,6527,47405,747,732,880,125,40,1517,1489,28,43364,20930,6893,5782,4098,2143,2014,22427,19920,17533,611,1425,1002,199,1948,1172,364,973,1944,4820,3291,1392,1789,22427,1297,1450,2062,2346,2834,4045,3114,3038,886,1355,56493,80361,22427,5043,17384,22446,20930,1516,23582,1.9,7.7,28.4,31.2,10.8,12.9,7.2,9004,28790,13118,444,4967,4287,51503,2429,2389,2833,2220,2641,2726,6669,5563,6359,4214,4967,7859,3739,1753
"0500000US06077-San Joaquin County,California",732212,3.16,0.9138716932015294,364612,367600,301256,430956,1536,110164,49926,3959,1069,26415,25080,1335,237887,305509,84675,56052,66378,42113,56291,226727,201039,181235,14403,24441,30510,10622,36418,25253,4113,14396,29389,61999,24411,14451,15103,226727,11947,11352,21842,20742,28173,40017,28778,35403,15258,13215,61145,81297,226727,95158,131569,334498,305509,28989,218838,11.2,9.9,28.2,22.9,9.3,12.6,5.9,201113,435388,86568,7182,47851,34364,561324,170888,52723,57384,56988,55240,51640,101222,94351,92011,42250,38942,52720,25773,10968
"0500000US06005-Amador County,California",37829,2.42,0.32545093205202386,20302,17527,5132,32697,270,466,749,69,10,1370,1370,0,29763,13289,4355,3056,3171,1470,1237,14090,12577,11467,592,923,598,139,1576,725,268,443,1315,2631,1986,688,1405,14090,593,550,1479,1576,1713,2760,1948,2155,591,725,61198,78014,14090,3413,10677,14544,13289,1255,18101,2.5,7.2,28.7,29.6,11.7,13.2,7.1,5682,18922,9570,259,2564,3485,35687,2142,1534,1540,1727,1978,1530,3744,4329,5105,3003,3387,6144,2555,1253
"0500000US06047-Merced County,California",269075,3.31,0.8031201719984008,135816,133259,158494,110581,840,19487,8038,556,501,5151,4987,164,76008,102638,24599,19459,19554,19736,19290,79606,70974,63434,12792,6875,11833,3185,11452,5676,1038,2909,6840,23163,7756,4812,4307,79606,5230,5097,8627,8577,12196,14954,9425,8924,3506,3070,50129,69764,79606,36189,43417,117550,102638,14912,80376,18.5,12.1,25.8,22.4,7.1,9.1,4.8,79930,157414,28981,4136,18780,13290,199835,69240,21254,22886,22499,23338,21064,38509,32974,30749,14281,12201,16993,8987,3340
"0500000US06049-Modoc County,California",8938,2.31,0.16016287750254496,4613,4325,1292,7646,291,130,149,6,4,104,96,8,6962,3125,1180,639,550,502,254,3660,2779,2539,637,98,18,94,242,115,16,76,171,786,340,261,271,3660,288,166,502,574,481,734,424,382,81,28,45149,54126,3660,830,2830,3399,3125,274,4030,7.0,7.4,32.3,26.1,11.4,10.4,5.5,1701,4748,2265,20,631,930,8293,645,402,556,464,491,252,1115,873,1050,691,751,1351,690,252
"0500000US06027-Inyo County,California",18085,2.16,0.8344143245190975,9084,9001,3927,14158,1944,289,160,35,28,313,312,1,11389,8090,2650,1671,1830,1160,779,8083,7256,6293,406,753,209,75,928,621,110,256,362,2069,1230,411,660,8083,240,574,794,1064,1184,1667,910,1085,300,265,52874,68448,8083,1600,6483,8537,8090,447,6328,4.2,6.9,29.3,25.6,7.9,16.1,10.0,3635,10007,4039,100,894,1495,16427,1658,1011,1108,888,1055,779,2047,2018,2120,1404,1507,2321,1247,580
